New Orleans Modern Jazz All Stars,1970-04-24,Municipal Auditorium,8:00 PM,"The Preservation Hall Band with Billie Pierce, Dede Pierce, Willie Humphrey, Cie Frazier, Jim Robinson and Allan Jaffe, The New Orleans Modern Jazz All Stars with John Burnious Jr, Ralph Johnson, Earl Turbinton, Willie T., Rudy Aikels, Ellis Marsalis, Porky Jones and others. "
Pete Fountain with Bobcat guests,1970-04-23,Municipal Auditorium,8:00 PM,"The Dukes of Dixieland, Ray Bauduc, Frank Assunto, Papa Albert French, Original Tuxedo Brass Band with Sweet Emma, Dixieland Hall Band, Fats Domino, Sharkey Bonano and his Kings of Dixieland with John Brunios, Dr. Ray Denitez, Harry Shields, Emile Ursin, Frank Federico and Guest Emile Christian, Young Tuxedo Brass Band"
"Tribute to King Oliver, Louis Armstrong, Freedie Keppard, Sam Morgan and Buddy Bolden",1970-04-24,Municipal Auditorium,12:30 PM,"Punch Miller's Band with Paul Crawford, Harry Shields, Leonard Alexis, Chester Jones, Stanley Mendleson, Eddie Dawson, Frank Moliere, Emanual Sayles, Guests: Andrew Morgan, Jim Robinson, Louis Keppard, Captain John Handy, Dave Bartholemew, Thomas Jefferson, Bill Russell and Willie Humphrey (MCs)"
Musique Francais Louisienne,1970-04-23,Municipal Auditorium,3:00 PM,"emceed Dick Allen, The Praire Cajun Bands from Big Mamou: Cyprien Landreneau, Adam Landreneau and Revon Reed, Ambrose Thibodaux, Isom Fontenot, Savy Augustine, Harrison Fontenot, Sady Courville and Bois Sec Ardoin and Sons, Nathan Abshire and the Balfa Brothers, Clifton Chenier's Band from Opelousas, The Creole Jazz Band with Dede Pierce, Albert Nicholas, Homer Eugene, Cie Frazier, Albert Walters and Eddie Dawson, The Creole Fiesta Association dancers and singers"
Bongo Joe,1971-04-23,Other,12:00 PM,
Bongo Joe,1971-04-24,Other,12:00 PM,
Les Moore,1971-04-22,Blues,12:00 PM,
Bongo Joe,1971-04-22,Other,12:00 PM,
Les Moore,1971-04-23,Blues,12:00 PM,
Les Moore,1971-04-24,Blues,12:00 PM,
Archibald,1971-04-22,Blues  ,12:00 PM,
Archibald,1971-04-23,Blues  ,12:00 PM,
Archibald,1971-04-24,Blues  ,12:00 PM,
Babe Stovall,1971-04-22,Blues,12:00 PM,
Babe Stovall,1971-04-23,Blues,12:00 PM,
Babe Stovall,1971-04-24,Blues,12:00 PM,
The Ott Singers,1971-04-22,Gospel  ,12:00 PM,
The Ott Singers,1971-04-23,Gospel  ,12:00 PM,
The Ott Singers,1971-04-24,Gospel  ,12:00 PM,
Eureka Brass Band,1971-04-23,Parade,12:00 PM,
Eureka Brass Band,1971-04-24,Parade,12:00 PM,
Roosevelt Sykes,1971-04-22,Blues,12:00 PM,
Fird Snooks Eaglin,1971-04-22,Blues  ,12:00 PM,
Alice Mae Victor,1971-04-22,Gospel  ,12:00 PM,
James River Quartet,1971-04-22,Jazz   ,12:00 PM,
Eureka Brass Band,1971-04-22,Parade,12:00 PM,
Roosevelt Sykes,1971-04-23,Blues,12:00 PM,
Fird Snooks Eaglin,1971-04-23,Blues  ,12:00 PM,
Alice Mae Victor,1971-04-23,Gospel  ,12:00 PM,
James River Quartet,1971-04-23,Jazz   ,12:00 PM,
Roosevelt Sykes,1971-04-24,Blues,12:00 PM,
Fird Snooks Eaglin,1971-04-24,Blues  ,12:00 PM,
Alice Mae Victor,1971-04-24,Gospel  ,12:00 PM,
James River Quartet,1971-04-24,Jazz   ,12:00 PM,
Willie Tee and the Souls,1971-04-23,Soul,12:00 PM,
Willie Tee and the Souls,1971-04-24,Soul,12:00 PM,
Olympia Brass Band,1971-04-23,Parade,12:00 PM,
Olympia Brass Band,1971-04-24,Parade,12:00 PM,
Mardi Gras Indians,1971-04-23,Parade,12:00 PM,
Zion Harmonizers,1971-04-22,Gospel  ,12:00 PM,
Mardi Gras Indians,1971-04-22,Parade,12:00 PM,
Olympia Brass Band,1971-04-22,Parade,12:00 PM,
Willie Tee and the Souls,1971-04-22,Soul,12:00 PM,
Zion Harmonizers,1971-04-23,Gospel  ,12:00 PM,
Zion Harmonizers,1971-04-24,Gospel  ,12:00 PM,
Professor Longhair,1971-04-22,Blues,12:00 PM,
Robert Pete Williams,1971-04-22,Blues  ,12:00 PM,
Idell Williams Group,1971-04-22,Gospel,12:00 PM,
Macedonia Male Choir,1971-04-22,Gospel  ,12:00 PM,
Professor Longhair,1971-04-23,Blues,12:00 PM,
Robert Pete Williams,1971-04-23,Blues  ,12:00 PM,
Idell Williams Group,1971-04-23,Gospel,12:00 PM,
Macedonia Male Choir,1971-04-23,Gospel  ,12:00 PM,
Professor Longhair,1971-04-24,Blues,12:00 PM,
Robert Pete Williams,1971-04-24,Blues  ,12:00 PM,
Idell Williams Group,1971-04-24,Gospel,12:00 PM,
Macedonia Male Choir,1971-04-24,Gospel  ,12:00 PM,
Clancy 'Blues Boy' Lewis,1971-04-22,Blues,12:00 PM,
Gospel Inspirations  ,1971-04-22,Gospel  ,12:00 PM,
Clancy 'Blues Boy' Lewis,1971-04-23,Blues,12:00 PM,
Gospel Inspirations  ,1971-04-23,Gospel  ,12:00 PM,
Clancy 'Blues Boy' Lewis,1971-04-24,Blues,12:00 PM,
Gospel Inspirations  ,1971-04-24,Gospel  ,12:00 PM,
New Orleans Ragtime Orchestra,1971-04-22,Jazz,12:00 PM,
New Orleans Ragtime Orchestra,1971-04-23,Jazz,12:00 PM,
New Orleans Ragtime Orchestra,1971-04-24,Jazz,12:00 PM,
Mardi Gras Indians,1971-04-24,Parade,2:00 PM,Parade on Canal St.
Allen Fontenot and the Country Cajuns,1971-04-22,Cajun,12:00 PM,
Allen Fontenot and the Country Cajuns,1971-04-23,Cajun,12:00 PM,
Allen Fontenot and the Country Cajuns,1971-04-24,Cajun,12:00 PM,
Hubert Davis and the Season Travellers,1971-04-22,Cajun,12:00 PM,
Bobby Hackett,1971-04-22,Main Ballroom - Roosevelt Hotel,8:00 PM,
Hubert Davis and the Season Travellers,1971-04-23,Cajun,12:00 PM,
Hubert Davis and the Season Travellers,1971-04-24,Cajun,12:00 PM,
Creole Fiesta Dancers,1971-04-23,Hall of the Americas - Jung Hotel,8:00 PM,
Anne Pavageau and the Morningstar Baptist Chuch choir,1971-04-22,Gospel  ,12:00 PM,
Anne Pavageau and the Morningstar Baptist Chuch choir,1971-04-23,Gospel  ,12:00 PM,
Murphy Campo,1971-04-23,Hall of the Americas - Jung Hotel,8:00 PM,"Oscar David, Al Hermann"
Anne Pavageau and the Morningstar Baptist Chuch choir,1971-04-24,Gospel  ,12:00 PM,
Armand Hug,1971-04-22,Main Ballroom - Roosevelt Hotel,8:00 PM,"Dave Oxley, Bobby Hackett, "
Porgy Jones Plus Three,1971-04-22,Main Ballroom - Roosevelt Hotel,8:00 PM,Germaine Bazzle
Punch Miller and his New Orleans Jazz Band,1971-04-22,Main Ballroom - Roosevelt Hotel,8:00 PM,
Dizzy Gillespie,1971-04-23,Hall of the Americas - Jung Hotel,8:00 PM,"Al Belletto, Bobby Hackett"
Ronnie Kole Trio,1971-04-23,Hall of the Americas - Jung Hotel,8:00 PM,"Everett Link, Dickie Taylor"
The Tomasso Family,1971-04-22,Main Ballroom - Roosevelt Hotel,8:00 PM,"Ernie Tomasso, Peter Tomasso, Rico Tomasso"
Salute to Louis Armstrong - Bobby Hackett,1971-04-24,Municipal Auditorium,8:00 PM,"George Wein, Dizzy Gillespie"
Salute to Louis Armstrong - Sharkey Bonano and His Kings of Dixieland,1971-04-24,Municipal Auditorium,8:00 PM,
New Orleans Ragtime Orchestra,1971-04-23,Hall of the Americas - Jung Hotel,8:00 PM,"Intro by Dick Allen, Lars Edegran, Bill Russell"
Salute to Louis Armstrong - Punch Miller,1971-04-24,Municipal Auditorium,8:00 PM,"Ray Burke, Emanuel Sayles, Bobby Hackett"
Salute to Louis Armstrong - Wallace Davenport,1971-04-24,Municipal Auditorium,8:00 PM,"Wallace Davenport, Don Ewell"
Kid Thomas and the Preservation Hall Jazz Band,1971-04-23,Hall of the Americas - Jung Hotel,8:00 PM,"Louis Nelson, Sweet Emma Barrett"
Black Eagle Jazz Band,1971-04-22,Main Ballroom - Roosevelt Hotel,8:00 PM,"Tommy Sancton, Tony Pringle, Cornelius Pameyer, Bonnie Bagley"
Fairview Baptist Church Christian Band,1971-04-22,Parade,12:00 PM,Danny Barker with Honorary Grand Marshall Dizzy Gillespie
Salute to Louis Armstrong - Dukes of Dixieland,1971-04-24,Municipal Auditorium,8:00 PM,"Frank Assunto, Don Ewell, Freddie Kohlman"
Salute to Louis Armstrong - The Tomasso Family,1971-04-24,Municipal Auditorium,8:00 PM,"Ernie Tomasso, Peter Tomasso, Rico Tomasso"
Al Belletto Quartet,1971-04-23,Hall of the Americas - Jung Hotel,8:00 PM,"Richie Payne, John Vidocovich, Norris Stohlman, Angelle Trosclair"
Santo Pecora and the Tailgate Ramblers,1971-04-22,Main Ballroom - Roosevelt Hotel,8:00 PM,"Sam Alcorn, Tony Mitchell, Andy Moses, Pork Chops (tap dancer)"
Papa Albert French and the Original Tuxedo Jazz Band,1971-04-22,Main Ballroom - Roosevelt Hotel,8:00 PM,"Jack Willis, Bobby Hackett, Jeanette Kimball, Lou Sino"
Salute to Louis Armstrong - The Galvanized Washboard Band,1971-04-24,Municipal Auditorium,8:00 PM,"Woody Allen, Julie Hovey, Art Hovey, Noel Kaletsky, Freddie Vigorito"
Young Tuxedo Brass Band,1971-04-24,Parade,12:00 PM,"With Kid Ory, Worthia Showboy Thomas, Homer Eugene, Walter Payton, Darreil Johnson (Grand Marshall) -- News accounts say Tuxedo Brass Band"
Young Tuxedo Brass Band,1971-04-22,Parade,12:00 PM,"With Kid Ory, Worthia Showboy Thomas, Homer Eugene, Walter Payton, Darreil Johnson (Grand Marshall) -- News accounts say Tuxedo Brass Band"
Young Tuxedo Brass Band,1971-04-23,Parade,12:00 PM,"With Kid Ory, Worthia Showboy Thomas, Homer Eugene, Walter Payton, Darreil Johnson (Grand Marshall) -- News accounts say Tuxedo Brass Band"
Salute to Louis Armstrong - Kid Ory,1971-04-24,Municipal Auditorium,8:00 PM,"Ed Garland, Thomas Jefferson, Raymond Burke, Emanuel Sayles, Danny Barker, Chuck Badie, Don Ewell, Freddy Kohlman"
